,feature,Presence_percent
0,mean_3m_r,100.0
0,mean_3m_n,100.0
0,med_3m_r,83.33333333333334
0,med_3m_b,66.66666666666666
0,med_3m_n,100.0
0,max_3m_n,100.0
0,mean_5m_n,83.33333333333334
0,med_5m_n,58.333333333333336
0,dnbr,100.0
0,rbr,66.66666666666666
0,r,100.0
0,g,66.66666666666666
0,n,100.0
0,IB,100.0
0,GCC,83.33333333333334
0,VARI,100.0
0,dnbrwoff,50.0
