started,done,repl,algorithm,task_id
2024-04-10T05:07:23.812Z,2024-04-10T05:07:46.718200Z,1,cv_glmnet,aztrees3
2024-04-10T05:07:24.738800Z,2024-04-10T05:07:47.584100Z,2,cv_glmnet,aztrees3
2024-04-10T05:07:24.910600Z,2024-04-10T05:07:55.127500Z,3,cv_glmnet,aztrees3
2024-04-10T05:07:52.514300Z,2024-04-10T05:08:08.106500Z,4,cv_glmnet,aztrees3
2024-04-10T05:07:23.965600Z,2024-04-10T05:07:37.079900Z,5,cv_glmnet,aztrees3
2024-04-10T05:07:23.984700Z,2024-04-10T05:07:40.186700Z,6,cv_glmnet,aztrees3
2024-04-10T05:07:51.625800Z,2024-04-10T05:08:17.532900Z,7,cv_glmnet,aztrees3
2024-04-10T05:07:23.817200Z,2024-04-10T05:07:55.526800Z,8,cv_glmnet,aztrees3
2024-04-10T05:07:47.615800Z,2024-04-10T05:08:08.698600Z,9,cv_glmnet,aztrees3
2024-04-10T05:07:51.538700Z,2024-04-10T05:08:14.763800Z,10,cv_glmnet,aztrees3
2024-04-10T05:07:51.106300Z,2024-04-10T05:08:20.370100Z,11,cv_glmnet,aztrees3
2024-04-10T05:07:25.874400Z,2024-04-10T05:07:43.181200Z,12,cv_glmnet,aztrees3
2024-04-10T05:07:23.356300Z,2024-04-10T05:07:37.384200Z,13,cv_glmnet,aztrees3
2024-04-10T05:07:26.162500Z,2024-04-10T05:07:43.958200Z,14,cv_glmnet,aztrees3
2024-04-10T05:07:23.085Z,2024-04-10T05:07:46.415200Z,15,cv_glmnet,aztrees3
2024-04-10T05:07:27.180300Z,2024-04-10T05:07:48.337700Z,16,cv_glmnet,aztrees3
2024-04-10T05:07:23.290500Z,2024-04-10T05:07:47.262800Z,17,cv_glmnet,aztrees3
2024-04-10T05:07:27.003800Z,2024-04-10T05:07:48.481700Z,18,cv_glmnet,aztrees3
2024-04-10T05:07:23.231200Z,2024-04-10T05:07:39.996100Z,19,cv_glmnet,aztrees3
2024-04-10T05:07:35.425500Z,2024-04-10T05:07:59.189Z,20,cv_glmnet,aztrees3
2024-04-10T05:07:35.421Z,2024-04-10T05:07:59.743300Z,21,cv_glmnet,aztrees3
2024-04-10T05:07:36.717800Z,2024-04-10T05:08:00.439500Z,22,cv_glmnet,aztrees3
2024-04-10T05:07:36.727200Z,2024-04-10T05:07:54.818500Z,23,cv_glmnet,aztrees3
2024-04-10T05:07:22.847300Z,2024-04-10T05:07:42.199Z,24,cv_glmnet,aztrees3
2024-04-10T05:08:24.041200Z,2024-04-10T05:08:45.925200Z,25,cv_glmnet,aztrees3
2024-04-10T05:08:23.858200Z,2024-04-10T05:08:44.098400Z,26,cv_glmnet,aztrees3
2024-04-10T05:08:24.002600Z,2024-04-10T05:08:43.578200Z,27,cv_glmnet,aztrees3
2024-04-10T05:08:42.907200Z,2024-04-10T05:09:03.426500Z,28,cv_glmnet,aztrees3
2024-04-10T05:08:24.175Z,2024-04-10T05:08:50.928600Z,29,cv_glmnet,aztrees3
2024-04-10T05:08:24.041600Z,2024-04-10T05:08:46.311800Z,30,cv_glmnet,aztrees3
2024-04-10T05:08:45.927900Z,2024-04-10T05:09:02.918300Z,31,cv_glmnet,aztrees3
2024-04-10T05:08:24.041100Z,2024-04-10T05:08:39.778100Z,32,cv_glmnet,aztrees3
2024-04-10T05:08:45.094Z,2024-04-10T05:09:05.127900Z,33,cv_glmnet,aztrees3
