started,done,repl,algorithm,task_id
2024-04-14T20:06:18.249Z,2024-04-14T20:08:02.593800Z,1,xgboost,aztrees3
2024-04-14T20:06:18.370600Z,2024-04-14T20:08:06.664300Z,2,xgboost,aztrees3
2024-04-14T20:06:18.200200Z,2024-04-14T20:08:04.879600Z,3,xgboost,aztrees3
2024-04-14T20:06:18.219Z,2024-04-14T20:08:04.120200Z,4,xgboost,aztrees3
2024-04-14T20:06:18.484600Z,2024-04-14T20:08:06.386500Z,5,xgboost,aztrees3
2024-04-14T20:06:18.163200Z,2024-04-14T20:08:08.222900Z,6,xgboost,aztrees3
2024-04-14T20:06:18.290700Z,2024-04-14T20:08:07.107100Z,7,xgboost,aztrees3
2024-04-14T20:06:18.438900Z,2024-04-14T20:08:08.546800Z,8,xgboost,aztrees3
2024-04-14T20:06:17.656200Z,2024-04-14T20:08:02.355700Z,9,xgboost,aztrees3
2024-04-14T20:06:18.168700Z,2024-04-14T20:08:07.152800Z,10,xgboost,aztrees3
2024-04-14T20:06:18.221Z,2024-04-14T20:06:31.524800Z,1,nearest_neighbors,aztrees3
2024-04-14T20:06:18.163800Z,2024-04-14T20:06:31.074600Z,2,nearest_neighbors,aztrees3
2024-04-14T20:06:17.558500Z,2024-04-14T20:06:29.259700Z,3,nearest_neighbors,aztrees3
2024-04-14T20:06:17.558500Z,2024-04-14T20:06:29.383400Z,4,nearest_neighbors,aztrees3
2024-04-14T20:06:17.558500Z,2024-04-14T20:06:29.289600Z,5,nearest_neighbors,aztrees3
2024-04-14T20:06:18.662500Z,2024-04-14T20:06:29.750600Z,6,nearest_neighbors,aztrees3
2024-04-14T20:06:18.662500Z,2024-04-14T20:06:29.776100Z,7,nearest_neighbors,aztrees3
2024-04-14T20:06:18.662400Z,2024-04-14T20:06:29.834500Z,8,nearest_neighbors,aztrees3
2024-04-14T20:06:17.545200Z,2024-04-14T20:06:29.096800Z,9,nearest_neighbors,aztrees3
2024-04-14T20:06:17.572400Z,2024-04-14T20:06:29.279300Z,10,nearest_neighbors,aztrees3
2024-04-14T20:06:17.572400Z,2024-04-14T20:06:32.661800Z,1,cv_glmnet,aztrees3
2024-04-14T20:06:17.599200Z,2024-04-14T20:06:31.685400Z,2,cv_glmnet,aztrees3
2024-04-14T20:06:17.599200Z,2024-04-14T20:06:30.514900Z,3,cv_glmnet,aztrees3
2024-04-14T20:06:17.599300Z,2024-04-14T20:06:26.621200Z,4,cv_glmnet,aztrees3
2024-04-14T20:07:17.809400Z,2024-04-14T20:07:40.114800Z,5,cv_glmnet,aztrees3
2024-04-14T20:07:17.814600Z,2024-04-14T20:07:42.948300Z,6,cv_glmnet,aztrees3
