task_id,algorithm,fold,classif.auc,classif.ce
MNIST_EMNIST_rot,cv_glmnet,8,,0.1089519182682
MNIST_FashionMNIST,cv_glmnet,1,,0.148661192431275
MNIST_FashionMNIST,cv_glmnet,2,,0.152385032847758
MNIST_FashionMNIST,cv_glmnet,3,,0.150671236789489
NSCH_autism,cv_glmnet,1,0.977620314650747,0.0265044536172062
NSCH_autism,cv_glmnet,2,0.968917378509733,0.0223815732290309
NSCH_autism,cv_glmnet,3,0.963437260036154,0.0275966970882225
NSCH_autism,cv_glmnet,4,0.971790187932929,0.0219469795740982
NSCH_autism,cv_glmnet,5,0.9694595080135,0.0212950890916993
NSCH_autism,cv_glmnet,6,0.969286217351006,0.0256410256410256
NSCH_autism,cv_glmnet,7,0.970845611787315,0.025
NSCH_autism,cv_glmnet,8,0.963870697164242,0.0243531202435312
NSCH_autism,cv_glmnet,9,0.970066458044326,0.0237008045227223
NSCH_autism,cv_glmnet,10,0.965559570280996,0.0258751902587519
QMNIST,cv_glmnet,1,,0.0762634251935726
QMNIST,cv_glmnet,2,,0.0729635182408796
QMNIST,cv_glmnet,3,,0.0750645671915355
QMNIST,cv_glmnet,5,,0.0758333333333333
QMNIST,cv_glmnet,6,,0.0742623770628438
QMNIST,cv_glmnet,7,,0.0982745686421605
QMNIST,cv_glmnet,8,,0.0796098699566522
QMNIST,cv_glmnet,9,,0.0702851425712856
QMNIST,cv_glmnet,10,,0.0737096639706495
spam,cv_glmnet,1,0.966189167974882,0.0887445887445888
spam,cv_glmnet,2,0.98073969041711,0.0650759219088937
spam,cv_glmnet,3,0.968116113277404,0.06941431670282
spam,cv_glmnet,4,0.971877584780811,0.0824295010845987
spam,cv_glmnet,5,0.969100791681437,0.0759219088937093
spam,cv_glmnet,6,0.958434820491495,0.104347826086957
spam,cv_glmnet,7,0.976752014891384,0.0717391304347826
spam,cv_glmnet,8,0.964426249056004,0.0849673202614379
spam,cv_glmnet,9,0.975299760191846,0.0633187772925764
spam,cv_glmnet,10,0.970023980815348,0.074235807860262
vowel,cv_glmnet,1,,0.354545454545455
vowel,cv_glmnet,2,,0.390909090909091
vowel,cv_glmnet,3,,0.242424242424242
vowel,cv_glmnet,4,,0.363636363636364
vowel,cv_glmnet,5,,0.343434343434343
vowel,cv_glmnet,6,,0.292929292929293
