grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.acc
127,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,2,1,270,7,all,2026-03-03T13:39:08.073834Z,2026-03-03T13:39:16.778815Z,38,0.923076923076923
128,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,2,1,450,8,all,2026-03-03T13:39:08.082383Z,2026-03-03T13:39:16.618603Z,31,0.884615384615385
129,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,2,1,720,9,all,2026-03-03T13:39:08.093069Z,2026-03-03T13:39:16.823532Z,32,0.884615384615385
12,2,2,1,waveform,classif.featureless,same_other_sizes_cv,train,all,720,2,1,720,12,all,2026-03-03T13:28:23.528825Z,2026-03-03T13:30:41.135360Z,15,0.32258064516129
130,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,2,1,270,10,all,2026-03-03T13:39:08.122350Z,2026-03-03T13:39:16.781257Z,29,0.774193548387097
131,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,2,1,450,11,all,2026-03-03T13:39:14.768239Z,2026-03-03T13:39:22.950576Z,35,0.838709677419355
132,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,2,1,720,12,all,2026-03-03T13:39:14.891546Z,2026-03-03T13:39:23.267820Z,37,0.774193548387097
133,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,3,1,270,13,all,2026-03-03T13:39:14.901600Z,2026-03-03T13:39:23.101532Z,33,0.823529411764706
134,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,3,1,450,14,all,2026-03-03T13:39:14.902645Z,2026-03-03T13:39:23.119702Z,43,0.823529411764706
135,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,3,1,720,15,all,2026-03-03T13:39:14.914902Z,2026-03-03T13:39:23.243509Z,39,0.823529411764706
136,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,3,1,270,16,all,2026-03-03T13:39:14.928647Z,2026-03-03T13:39:23.135554Z,34,0.774193548387097
137,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,3,1,450,17,all,2026-03-03T13:39:16.331621Z,2026-03-03T13:39:24.573621Z,28,0.838709677419355
138,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,3,1,720,18,all,2026-03-03T13:39:16.508179Z,2026-03-03T13:39:24.855304Z,36,0.903225806451613
139,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,4,1,270,19,all,2026-03-03T13:39:16.547931Z,2026-03-03T13:39:24.754775Z,41,0.88
13,2,2,1,waveform,classif.featureless,same_other_sizes_cv,test,all,720,3,1,270,13,all,2026-03-03T13:28:23.528877Z,2026-03-03T13:30:41.135181Z,8,0.352941176470588
140,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,4,1,450,20,all,2026-03-03T13:39:16.552083Z,2026-03-03T13:39:24.853564Z,30,0.84
141,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,4,1,720,21,all,2026-03-03T13:39:16.624844Z,2026-03-03T13:39:25.032646Z,31,0.84
142,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,4,1,270,22,all,2026-03-03T13:39:16.643261Z,2026-03-03T13:39:24.974844Z,42,0.870967741935484
143,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,4,1,450,23,all,2026-03-03T13:39:16.765510Z,2026-03-03T13:39:25.005866Z,40,0.838709677419355
144,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,4,1,720,24,all,2026-03-03T13:39:16.784874Z,2026-03-03T13:39:25.149071Z,38,0.903225806451613
145,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,5,1,270,25,all,2026-03-03T13:39:16.787060Z,2026-03-03T13:39:25.042032Z,29,0.84
146,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,5,1,450,26,all,2026-03-03T13:39:16.829599Z,2026-03-03T13:39:25.112122Z,32,0.86
147,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,test,all,720,5,1,720,27,all,2026-03-03T13:39:22.956776Z,2026-03-03T13:39:31.181920Z,35,0.84
148,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,5,1,270,28,all,2026-03-03T13:39:23.107853Z,2026-03-03T13:39:31.248946Z,33,0.766666666666667
149,2,1,1,waveform,classif.cv_glmnet,same_other_sizes_cv,train,all,720,5,1,450,29,all,2026-03-03T13:39:23.125513Z,2026-03-03T13:39:31.340973Z,43,0.666666666666667
