grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.acc
123,1,3,1,MNIST_EMNIST_rot,cv_glmnet,same_other_sizes_cv,EMNIST_rot,all,126000,2,1,126000,3,all,2026-03-07T13:28:24.648321Z,2026-03-08T02:38:39.786229Z,2,0.895367070563079
124,1,3,1,MNIST_EMNIST_rot,cv_glmnet,same_other_sizes_cv,MNIST,all,126000,2,1,126000,4,all,2026-03-07T13:28:24.648373Z,2026-03-08T10:21:45.009160Z,30,0.88610673916154
125,1,3,1,MNIST_EMNIST_rot,cv_glmnet,same_other_sizes_cv,EMNIST_rot,all,126000,3,1,126000,5,all,2026-03-12T01:34:38.732347Z,2026-03-13T18:03:55.692594Z,4,0.880693211114294
126,1,3,1,MNIST_EMNIST_rot,cv_glmnet,same_other_sizes_cv,MNIST,all,126000,3,1,126000,6,all,2026-03-12T01:34:38.732441Z,2026-03-13T14:25:22.673111Z,3,0.877954998575904
127,1,3,1,MNIST_EMNIST_rot,cv_glmnet,same_other_sizes_cv,EMNIST_rot,all,126000,4,1,126000,7,all,2026-03-12T01:34:38.732441Z,2026-03-13T14:58:26.268220Z,1,0.883137367364497
128,1,3,1,MNIST_EMNIST_rot,cv_glmnet,same_other_sizes_cv,MNIST,all,126000,4,1,126000,8,all,2026-03-08T13:05:36.757497Z,2026-03-09T07:56:25.803326Z,25,0.881884161092927
129,1,3,1,MNIST_EMNIST_rot,cv_glmnet,same_other_sizes_cv,EMNIST_rot,all,126000,5,1,126000,9,all,2026-03-08T13:05:36.757696Z,2026-03-11T10:59:06.406947Z,3,0.882872773179969
12,1,1,1,MNIST_EMNIST_rot,featureless,same_other_sizes_cv,MNIST,all,126000,6,1,126000,12,all,2026-03-03T12:50:22.285335Z,2026-03-03T12:50:39.758496Z,49,0.110255313079447
130,1,3,1,MNIST_EMNIST_rot,cv_glmnet,same_other_sizes_cv,MNIST,all,126000,5,1,126000,10,all,2026-03-08T13:05:36.757708Z,2026-03-09T10:54:37.673493Z,10,0.879493523504585
131,1,3,1,MNIST_EMNIST_rot,cv_glmnet,same_other_sizes_cv,EMNIST_rot,all,126000,6,1,126000,11,all,2026-03-12T01:34:38.732910Z,2026-03-13T16:16:16.127486Z,2,0.882226674298798
132,1,3,1,MNIST_EMNIST_rot,cv_glmnet,same_other_sizes_cv,MNIST,all,126000,6,1,126000,12,all,2026-03-08T13:05:36.757758Z,2026-03-11T12:10:09.662470Z,4,0.874340322350592
