test.group,train.groups,atoms,test.fold,seed,n.train.atoms,iteration,task_id,classif.ce,algorithm,n.train,n.test
test,all,54000,1,1,2250,1,CIFAR10,0.673,cv_glmnet,2240,1000
test,all,54000,1,1,4500,2,CIFAR10,0.633,cv_glmnet,4500,1000
test,all,54000,1,1,9000,3,CIFAR10,0.624,cv_glmnet,9000,1000
test,all,54000,1,1,45000,4,CIFAR10,0.611,cv_glmnet,45000,1000
test,all,54000,1,1,54000,5,CIFAR10,0.606,cv_glmnet,54000,1000
test,all,54000,1,2,2250,6,CIFAR10,0.673,cv_glmnet,2240,1000
test,all,54000,1,2,4500,7,CIFAR10,0.647,cv_glmnet,4500,1000
test,all,54000,1,2,9000,8,CIFAR10,0.614,cv_glmnet,9000,1000
test,all,54000,1,2,45000,9,CIFAR10,0.599,cv_glmnet,45000,1000
test,all,54000,1,2,54000,10,CIFAR10,0.606,cv_glmnet,54000,1000
test,all,54000,1,3,2250,11,CIFAR10,0.67,cv_glmnet,2240,1000
test,all,54000,1,3,4500,12,CIFAR10,0.637,cv_glmnet,4500,1000
test,all,54000,1,3,9000,13,CIFAR10,0.612,cv_glmnet,9000,1000
test,all,54000,1,3,45000,14,CIFAR10,0.609,cv_glmnet,45000,1000
test,all,54000,1,3,54000,15,CIFAR10,0.601,cv_glmnet,54000,1000
train,all,54000,1,1,2250,16,CIFAR10,0.655,cv_glmnet,2240,5000
train,all,54000,1,1,4500,17,CIFAR10,0.6254,cv_glmnet,4500,5000
train,all,54000,1,1,9000,18,CIFAR10,0.6154,cv_glmnet,9000,5000
train,all,54000,1,1,45000,19,CIFAR10,0.5758,cv_glmnet,45000,5000
train,all,54000,1,1,54000,20,CIFAR10,0.575,cv_glmnet,54000,5000
train,all,54000,1,2,2250,21,CIFAR10,0.6526,cv_glmnet,2240,5000
train,all,54000,1,2,4500,22,CIFAR10,0.6206,cv_glmnet,4500,5000
train,all,54000,1,2,9000,23,CIFAR10,0.607,cv_glmnet,9000,5000
train,all,54000,1,2,45000,24,CIFAR10,0.5812,cv_glmnet,45000,5000
train,all,54000,1,2,54000,25,CIFAR10,0.5766,cv_glmnet,54000,5000
train,all,54000,1,3,2250,26,CIFAR10,0.6554,cv_glmnet,2240,5000
train,all,54000,1,3,4500,27,CIFAR10,0.6258,cv_glmnet,4500,5000
train,all,54000,1,3,9000,28,CIFAR10,0.6062,cv_glmnet,9000,5000
train,all,54000,1,3,45000,29,CIFAR10,0.5782,cv_glmnet,45000,5000
train,all,54000,1,3,54000,30,CIFAR10,0.5782,cv_glmnet,54000,5000
test,all,54000,2,1,2250,31,CIFAR10,0.669,cv_glmnet,2240,1000
test,all,54000,2,1,4500,32,CIFAR10,0.618,cv_glmnet,4500,1000
test,all,54000,2,1,9000,33,CIFAR10,0.604,cv_glmnet,9000,1000
test,all,54000,2,1,45000,34,CIFAR10,0.562,cv_glmnet,45000,1000
test,all,54000,2,1,54000,35,CIFAR10,0.56,cv_glmnet,54000,1000
test,all,54000,2,2,2250,36,CIFAR10,0.667,cv_glmnet,2240,1000
test,all,54000,2,2,4500,37,CIFAR10,0.613,cv_glmnet,4500,1000
test,all,54000,2,2,9000,38,CIFAR10,0.584,cv_glmnet,9000,1000
test,all,54000,2,2,45000,39,CIFAR10,0.555,cv_glmnet,45000,1000
test,all,54000,2,2,54000,40,CIFAR10,0.561,cv_glmnet,54000,1000
test,all,54000,2,3,2250,41,CIFAR10,0.649,cv_glmnet,2240,1000
test,all,54000,2,3,4500,42,CIFAR10,0.616,cv_glmnet,4500,1000
test,all,54000,2,3,9000,43,CIFAR10,0.596,cv_glmnet,9000,1000
test,all,54000,2,3,45000,44,CIFAR10,0.556,cv_glmnet,45000,1000
test,all,54000,2,3,54000,45,CIFAR10,0.561,cv_glmnet,54000,1000
train,all,54000,2,1,2250,46,CIFAR10,0.6516,cv_glmnet,2240,5000
train,all,54000,2,1,4500,47,CIFAR10,0.6288,cv_glmnet,4500,5000
train,all,54000,2,1,9000,48,CIFAR10,0.613,cv_glmnet,9000,5000
