test.group,train.groups,atoms,test.fold,seed,n.train.atoms,iteration,task_id,classif.ce,algorithm,n.train,n.test
train,all,54000,2,1,45000,49,CIFAR10,0.587,cv_glmnet,45000,5000
train,all,54000,2,1,54000,50,CIFAR10,0.5866,cv_glmnet,54000,5000
train,all,54000,2,2,2250,51,CIFAR10,0.6626,cv_glmnet,2240,5000
train,all,54000,2,2,4500,52,CIFAR10,0.6258,cv_glmnet,4500,5000
train,all,54000,2,2,9000,53,CIFAR10,0.619,cv_glmnet,9000,5000
train,all,54000,2,2,45000,54,CIFAR10,0.586,cv_glmnet,45000,5000
train,all,54000,2,2,54000,55,CIFAR10,0.585,cv_glmnet,54000,5000
train,all,54000,2,3,2250,56,CIFAR10,0.663,cv_glmnet,2240,5000
train,all,54000,2,3,4500,57,CIFAR10,0.6346,cv_glmnet,4500,5000
train,all,54000,2,3,9000,58,CIFAR10,0.6128,cv_glmnet,9000,5000
train,all,54000,2,3,45000,59,CIFAR10,0.5864,cv_glmnet,45000,5000
train,all,54000,2,3,54000,60,CIFAR10,0.5866,cv_glmnet,54000,5000
test,all,54000,3,1,2250,61,CIFAR10,0.659,cv_glmnet,2240,1000
test,all,54000,3,1,4500,62,CIFAR10,0.634,cv_glmnet,4500,1000
test,all,54000,3,1,9000,63,CIFAR10,0.581,cv_glmnet,9000,1000
test,all,54000,3,1,45000,64,CIFAR10,0.563,cv_glmnet,45000,1000
test,all,54000,3,1,54000,65,CIFAR10,0.564,cv_glmnet,54000,1000
test,all,54000,3,2,2250,66,CIFAR10,0.624,cv_glmnet,2240,1000
test,all,54000,3,2,4500,67,CIFAR10,0.599,cv_glmnet,4500,1000
test,all,54000,3,2,9000,68,CIFAR10,0.591,cv_glmnet,9000,1000
test,all,54000,3,2,45000,69,CIFAR10,0.558,cv_glmnet,45000,1000
test,all,54000,3,2,54000,70,CIFAR10,0.561,cv_glmnet,54000,1000
test,all,54000,3,3,2250,71,CIFAR10,0.643,cv_glmnet,2240,1000
test,all,54000,3,3,4500,72,CIFAR10,0.606,cv_glmnet,4500,1000
test,all,54000,3,3,9000,73,CIFAR10,0.583,cv_glmnet,9000,1000
test,all,54000,3,3,45000,74,CIFAR10,0.574,cv_glmnet,45000,1000
test,all,54000,3,3,54000,75,CIFAR10,0.561,cv_glmnet,54000,1000
train,all,54000,3,1,2250,76,CIFAR10,0.661,cv_glmnet,2240,5000
train,all,54000,3,1,4500,77,CIFAR10,0.6404,cv_glmnet,4500,5000
train,all,54000,3,1,9000,78,CIFAR10,0.6326,cv_glmnet,9000,5000
train,all,54000,3,1,45000,79,CIFAR10,0.593,cv_glmnet,45000,5000
train,all,54000,3,1,54000,80,CIFAR10,0.592,cv_glmnet,54000,5000
train,all,54000,3,2,2250,81,CIFAR10,0.6608,cv_glmnet,2240,5000
train,all,54000,3,2,4500,82,CIFAR10,0.6284,cv_glmnet,4500,5000
train,all,54000,3,2,9000,83,CIFAR10,0.6238,cv_glmnet,9000,5000
train,all,54000,3,2,45000,84,CIFAR10,0.5968,cv_glmnet,45000,5000
train,all,54000,3,2,54000,85,CIFAR10,0.592,cv_glmnet,54000,5000
train,all,54000,3,3,2250,86,CIFAR10,0.661,cv_glmnet,2240,5000
train,all,54000,3,3,4500,87,CIFAR10,0.6382,cv_glmnet,4500,5000
train,all,54000,3,3,9000,88,CIFAR10,0.6264,cv_glmnet,9000,5000
train,all,54000,3,3,45000,89,CIFAR10,0.5932,cv_glmnet,45000,5000
train,all,54000,3,3,54000,90,CIFAR10,0.592,cv_glmnet,54000,5000
test,all,54000,4,1,2250,91,CIFAR10,0.673,cv_glmnet,2240,1000
test,all,54000,4,1,4500,92,CIFAR10,0.659,cv_glmnet,4500,1000
test,all,54000,4,1,9000,93,CIFAR10,0.628,cv_glmnet,9000,1000
test,all,54000,4,1,45000,94,CIFAR10,0.604,cv_glmnet,45000,1000
test,all,54000,4,1,54000,95,CIFAR10,0.595,cv_glmnet,54000,1000
test,all,54000,4,2,2250,96,CIFAR10,0.683,cv_glmnet,2240,1000
test,all,54000,4,2,4500,97,CIFAR10,0.674,cv_glmnet,4500,1000
test,all,54000,4,2,9000,98,CIFAR10,0.639,cv_glmnet,9000,1000
test,all,54000,4,2,45000,99,CIFAR10,0.609,cv_glmnet,45000,1000
test,all,54000,4,2,54000,100,CIFAR10,0.595,cv_glmnet,54000,1000
test,all,54000,4,3,2250,101,CIFAR10,0.667,cv_glmnet,2240,1000
test,all,54000,4,3,4500,102,CIFAR10,0.647,cv_glmnet,4500,1000
test,all,54000,4,3,9000,103,CIFAR10,0.634,cv_glmnet,9000,1000
test,all,54000,4,3,45000,104,CIFAR10,0.604,cv_glmnet,45000,1000
test,all,54000,4,3,54000,105,CIFAR10,0.595,cv_glmnet,54000,1000
train,all,54000,4,1,2250,106,CIFAR10,0.6634,cv_glmnet,2240,5000
train,all,54000,4,1,4500,107,CIFAR10,0.6428,cv_glmnet,4500,5000
train,all,54000,4,1,9000,108,CIFAR10,0.6194,cv_glmnet,9000,5000
train,all,54000,4,1,45000,109,CIFAR10,0.5848,cv_glmnet,45000,5000
train,all,54000,4,1,54000,110,CIFAR10,0.585,cv_glmnet,54000,5000
train,all,54000,4,2,2250,111,CIFAR10,0.6604,cv_glmnet,2240,5000
train,all,54000,4,2,4500,112,CIFAR10,0.6286,cv_glmnet,4500,5000
train,all,54000,4,2,9000,113,CIFAR10,0.6148,cv_glmnet,9000,5000
train,all,54000,4,2,45000,114,CIFAR10,0.5832,cv_glmnet,45000,5000
train,all,54000,4,2,54000,115,CIFAR10,0.5858,cv_glmnet,54000,5000
train,all,54000,4,3,2250,116,CIFAR10,0.659,cv_glmnet,2240,5000
train,all,54000,4,3,4500,117,CIFAR10,0.6344,cv_glmnet,4500,5000
train,all,54000,4,3,9000,118,CIFAR10,0.6168,cv_glmnet,9000,5000
train,all,54000,4,3,45000,119,CIFAR10,0.5862,cv_glmnet,45000,5000
train,all,54000,4,3,54000,120,CIFAR10,0.5858,cv_glmnet,54000,5000
test,all,54000,5,1,2250,121,CIFAR10,0.666,cv_glmnet,2240,1000
test,all,54000,5,1,4500,122,CIFAR10,0.631,cv_glmnet,4500,1000
test,all,54000,5,1,9000,123,CIFAR10,0.623,cv_glmnet,9000,1000
test,all,54000,5,1,45000,124,CIFAR10,0.583,cv_glmnet,45000,1000
test,all,54000,5,1,54000,125,CIFAR10,0.575,cv_glmnet,54000,1000
test,all,54000,5,2,2250,126,CIFAR10,0.671,cv_glmnet,2240,1000
test,all,54000,5,2,4500,127,CIFAR10,0.638,cv_glmnet,4500,1000
test,all,54000,5,2,9000,128,CIFAR10,0.627,cv_glmnet,9000,1000
test,all,54000,5,2,45000,129,CIFAR10,0.574,cv_glmnet,45000,1000
test,all,54000,5,2,54000,130,CIFAR10,0.578,cv_glmnet,54000,1000
test,all,54000,5,3,2250,131,CIFAR10,0.657,cv_glmnet,2240,1000
test,all,54000,5,3,4500,132,CIFAR10,0.632,cv_glmnet,4500,1000
test,all,54000,5,3,9000,133,CIFAR10,0.598,cv_glmnet,9000,1000
test,all,54000,5,3,45000,134,CIFAR10,0.575,cv_glmnet,45000,1000
test,all,54000,5,3,54000,135,CIFAR10,0.574,cv_glmnet,54000,1000
train,all,54000,5,1,2250,136,CIFAR10,0.6568,cv_glmnet,2240,5000
train,all,54000,5,1,4500,137,CIFAR10,0.635,cv_glmnet,4500,5000
train,all,54000,5,1,9000,138,CIFAR10,0.6226,cv_glmnet,9000,5000
train,all,54000,5,1,45000,139,CIFAR10,0.5868,cv_glmnet,45000,5000
train,all,54000,5,1,54000,140,CIFAR10,0.5882,cv_glmnet,54000,5000
train,all,54000,5,2,2250,141,CIFAR10,0.663,cv_glmnet,2240,5000
train,all,54000,5,2,4500,142,CIFAR10,0.6394,cv_glmnet,4500,5000
train,all,54000,5,2,9000,143,CIFAR10,0.6192,cv_glmnet,9000,5000
train,all,54000,5,2,45000,144,CIFAR10,0.5866,cv_glmnet,45000,5000
train,all,54000,5,2,54000,145,CIFAR10,0.586,cv_glmnet,54000,5000
train,all,54000,5,3,2250,146,CIFAR10,0.675,cv_glmnet,2240,5000
train,all,54000,5,3,4500,147,CIFAR10,0.631,cv_glmnet,4500,5000
train,all,54000,5,3,9000,148,CIFAR10,0.6158,cv_glmnet,9000,5000
train,all,54000,5,3,45000,149,CIFAR10,0.5892,cv_glmnet,45000,5000
train,all,54000,5,3,54000,150,CIFAR10,0.5882,cv_glmnet,54000,5000
test,all,54000,6,1,2250,151,CIFAR10,0.676,cv_glmnet,2240,1000
test,all,54000,6,1,4500,152,CIFAR10,0.655,cv_glmnet,4500,1000
test,all,54000,6,1,9000,153,CIFAR10,0.631,cv_glmnet,9000,1000
test,all,54000,6,1,45000,154,CIFAR10,0.599,cv_glmnet,45000,1000
test,all,54000,6,1,54000,155,CIFAR10,0.597,cv_glmnet,54000,1000
test,all,54000,6,2,2250,156,CIFAR10,0.656,cv_glmnet,2240,1000
test,all,54000,6,2,4500,157,CIFAR10,0.635,cv_glmnet,4500,1000
test,all,54000,6,2,9000,158,CIFAR10,0.63,cv_glmnet,9000,1000
test,all,54000,6,2,45000,159,CIFAR10,0.601,cv_glmnet,45000,1000
test,all,54000,6,2,54000,160,CIFAR10,0.596,cv_glmnet,54000,1000
test,all,54000,6,3,2250,161,CIFAR10,0.673,cv_glmnet,2240,1000
test,all,54000,6,3,4500,162,CIFAR10,0.633,cv_glmnet,4500,1000
test,all,54000,6,3,9000,163,CIFAR10,0.639,cv_glmnet,9000,1000
test,all,54000,6,3,45000,164,CIFAR10,0.608,cv_glmnet,45000,1000
test,all,54000,6,3,54000,165,CIFAR10,0.597,cv_glmnet,54000,1000
train,all,54000,6,1,2250,166,CIFAR10,0.6612,cv_glmnet,2240,5000
train,all,54000,6,1,4500,167,CIFAR10,0.6308,cv_glmnet,4500,5000
train,all,54000,6,1,9000,168,CIFAR10,0.6198,cv_glmnet,9000,5000
train,all,54000,6,1,45000,169,CIFAR10,0.5932,cv_glmnet,45000,5000
train,all,54000,6,1,54000,170,CIFAR10,0.5922,cv_glmnet,54000,5000
train,all,54000,6,2,2250,171,CIFAR10,0.6638,cv_glmnet,2240,5000
train,all,54000,6,2,4500,172,CIFAR10,0.632,cv_glmnet,4500,5000
train,all,54000,6,2,9000,173,CIFAR10,0.6112,cv_glmnet,9000,5000
train,all,54000,6,2,45000,174,CIFAR10,0.5942,cv_glmnet,45000,5000
train,all,54000,6,2,54000,175,CIFAR10,0.5922,cv_glmnet,54000,5000
train,all,54000,6,3,2250,176,CIFAR10,0.6578,cv_glmnet,2240,5000
train,all,54000,6,3,4500,177,CIFAR10,0.6388,cv_glmnet,4500,5000
train,all,54000,6,3,9000,178,CIFAR10,0.6196,cv_glmnet,9000,5000
train,all,54000,6,3,45000,179,CIFAR10,0.5954,cv_glmnet,45000,5000
train,all,54000,6,3,54000,180,CIFAR10,0.594,cv_glmnet,54000,5000
test,all,54000,7,1,2250,181,CIFAR10,0.653,cv_glmnet,2240,1000
test,all,54000,7,1,4500,182,CIFAR10,0.634,cv_glmnet,4500,1000
test,all,54000,7,1,9000,183,CIFAR10,0.609,cv_glmnet,9000,1000
test,all,54000,7,1,45000,184,CIFAR10,0.588,cv_glmnet,45000,1000
test,all,54000,7,1,54000,185,CIFAR10,0.58,cv_glmnet,54000,1000
test,all,54000,7,2,2250,186,CIFAR10,0.63,cv_glmnet,2240,1000
test,all,54000,7,2,4500,187,CIFAR10,0.625,cv_glmnet,4500,1000
test,all,54000,7,2,9000,188,CIFAR10,0.598,cv_glmnet,9000,1000
test,all,54000,7,2,45000,189,CIFAR10,0.586,cv_glmnet,45000,1000
test,all,54000,7,2,54000,190,CIFAR10,0.582,cv_glmnet,54000,1000
test,all,54000,7,3,2250,191,CIFAR10,0.633,cv_glmnet,2240,1000
test,all,54000,7,3,4500,192,CIFAR10,0.591,cv_glmnet,4500,1000
test,all,54000,7,3,9000,193,CIFAR10,0.596,cv_glmnet,9000,1000
test,all,54000,7,3,45000,194,CIFAR10,0.596,cv_glmnet,45000,1000
test,all,54000,7,3,54000,195,CIFAR10,0.582,cv_glmnet,54000,1000
train,all,54000,7,1,2250,196,CIFAR10,0.6462,cv_glmnet,2240,5000
train,all,54000,7,1,4500,197,CIFAR10,0.6238,cv_glmnet,4500,5000
train,all,54000,7,1,9000,198,CIFAR10,0.613,cv_glmnet,9000,5000
train,all,54000,7,1,45000,199,CIFAR10,0.5784,cv_glmnet,45000,5000
train,all,54000,7,1,54000,200,CIFAR10,0.5766,cv_glmnet,54000,5000
train,all,54000,7,2,2250,201,CIFAR10,0.65,cv_glmnet,2240,5000
train,all,54000,7,2,4500,202,CIFAR10,0.622,cv_glmnet,4500,5000
train,all,54000,7,2,9000,203,CIFAR10,0.6048,cv_glmnet,9000,5000
train,all,54000,7,2,45000,204,CIFAR10,0.5822,cv_glmnet,45000,5000
train,all,54000,7,2,54000,205,CIFAR10,0.5766,cv_glmnet,54000,5000
train,all,54000,7,3,2250,206,CIFAR10,0.6562,cv_glmnet,2240,5000
train,all,54000,7,3,4500,207,CIFAR10,0.6272,cv_glmnet,4500,5000
train,all,54000,7,3,9000,208,CIFAR10,0.6102,cv_glmnet,9000,5000
train,all,54000,7,3,45000,209,CIFAR10,0.581,cv_glmnet,45000,5000
train,all,54000,7,3,54000,210,CIFAR10,0.5766,cv_glmnet,54000,5000
test,all,54000,8,1,2250,211,CIFAR10,0.657,cv_glmnet,2240,1000
test,all,54000,8,1,4500,212,CIFAR10,0.648,cv_glmnet,4500,1000
test,all,54000,8,1,9000,213,CIFAR10,0.633,cv_glmnet,9000,1000
test,all,54000,8,1,45000,214,CIFAR10,0.61,cv_glmnet,45000,1000
test,all,54000,8,1,54000,215,CIFAR10,0.605,cv_glmnet,54000,1000
test,all,54000,8,2,2250,216,CIFAR10,0.64,cv_glmnet,2240,1000
test,all,54000,8,2,4500,217,CIFAR10,0.625,cv_glmnet,4500,1000
test,all,54000,8,2,9000,218,CIFAR10,0.636,cv_glmnet,9000,1000
test,all,54000,8,2,45000,219,CIFAR10,0.602,cv_glmnet,45000,1000
test,all,54000,8,2,54000,220,CIFAR10,0.601,cv_glmnet,54000,1000
test,all,54000,8,3,2250,221,CIFAR10,0.64,cv_glmnet,2240,1000
test,all,54000,8,3,4500,222,CIFAR10,0.631,cv_glmnet,4500,1000
test,all,54000,8,3,9000,223,CIFAR10,0.621,cv_glmnet,9000,1000
test,all,54000,8,3,45000,224,CIFAR10,0.595,cv_glmnet,45000,1000
test,all,54000,8,3,54000,225,CIFAR10,0.601,cv_glmnet,54000,1000
train,all,54000,8,1,2250,226,CIFAR10,0.6578,cv_glmnet,2240,5000
train,all,54000,8,1,4500,227,CIFAR10,0.6268,cv_glmnet,4500,5000
train,all,54000,8,1,9000,228,CIFAR10,0.613,cv_glmnet,9000,5000
train,all,54000,8,1,45000,229,CIFAR10,0.5816,cv_glmnet,45000,5000
train,all,54000,8,1,54000,230,CIFAR10,0.5836,cv_glmnet,54000,5000
train,all,54000,8,2,2250,231,CIFAR10,0.6512,cv_glmnet,2240,5000
train,all,54000,8,2,4500,232,CIFAR10,0.6326,cv_glmnet,4500,5000
train,all,54000,8,2,9000,233,CIFAR10,0.61,cv_glmnet,9000,5000
train,all,54000,8,2,45000,234,CIFAR10,0.586,cv_glmnet,45000,5000
train,all,54000,8,2,54000,235,CIFAR10,0.5836,cv_glmnet,54000,5000
train,all,54000,8,3,2250,236,CIFAR10,0.6534,cv_glmnet,2240,5000
train,all,54000,8,3,4500,237,CIFAR10,0.634,cv_glmnet,4500,5000
train,all,54000,8,3,9000,238,CIFAR10,0.609,cv_glmnet,9000,5000
train,all,54000,8,3,45000,239,CIFAR10,0.5876,cv_glmnet,45000,5000
train,all,54000,8,3,54000,240,CIFAR10,0.5836,cv_glmnet,54000,5000
test,all,54000,9,1,2250,241,CIFAR10,0.651,cv_glmnet,2240,1000
test,all,54000,9,1,4500,242,CIFAR10,0.615,cv_glmnet,4500,1000
test,all,54000,9,1,9000,243,CIFAR10,0.606,cv_glmnet,9000,1000
test,all,54000,9,1,45000,244,CIFAR10,0.596,cv_glmnet,45000,1000
test,all,54000,9,1,54000,245,CIFAR10,0.599,cv_glmnet,54000,1000
test,all,54000,9,2,2250,246,CIFAR10,0.641,cv_glmnet,2240,1000
test,all,54000,9,2,4500,247,CIFAR10,0.643,cv_glmnet,4500,1000
test,all,54000,9,2,9000,248,CIFAR10,0.614,cv_glmnet,9000,1000
test,all,54000,9,2,45000,249,CIFAR10,0.592,cv_glmnet,45000,1000
test,all,54000,9,2,54000,250,CIFAR10,0.593,cv_glmnet,54000,1000
test,all,54000,9,3,2250,251,CIFAR10,0.66,cv_glmnet,2240,1000
test,all,54000,9,3,4500,252,CIFAR10,0.633,cv_glmnet,4500,1000
test,all,54000,9,3,9000,253,CIFAR10,0.623,cv_glmnet,9000,1000
test,all,54000,9,3,45000,254,CIFAR10,0.598,cv_glmnet,45000,1000
test,all,54000,9,3,54000,255,CIFAR10,0.593,cv_glmnet,54000,1000
train,all,54000,9,1,2250,256,CIFAR10,0.671,cv_glmnet,2240,5000
train,all,54000,9,1,4500,257,CIFAR10,0.6356,cv_glmnet,4500,5000
train,all,54000,9,1,9000,258,CIFAR10,0.627,cv_glmnet,9000,5000
train,all,54000,9,1,45000,259,CIFAR10,0.5964,cv_glmnet,45000,5000
train,all,54000,9,1,54000,260,CIFAR10,0.5916,cv_glmnet,54000,5000
train,all,54000,9,2,2250,261,CIFAR10,0.6662,cv_glmnet,2240,5000
train,all,54000,9,2,4500,262,CIFAR10,0.6402,cv_glmnet,4500,5000
train,all,54000,9,2,9000,263,CIFAR10,0.6122,cv_glmnet,9000,5000
train,all,54000,9,2,45000,264,CIFAR10,0.5948,cv_glmnet,45000,5000
train,all,54000,9,2,54000,265,CIFAR10,0.5966,cv_glmnet,54000,5000
train,all,54000,9,3,2250,266,CIFAR10,0.6576,cv_glmnet,2240,5000
train,all,54000,9,3,4500,267,CIFAR10,0.6432,cv_glmnet,4500,5000
train,all,54000,9,3,9000,268,CIFAR10,0.621,cv_glmnet,9000,5000
train,all,54000,9,3,45000,269,CIFAR10,0.593,cv_glmnet,45000,5000
train,all,54000,9,3,54000,270,CIFAR10,0.5912,cv_glmnet,54000,5000
test,all,54000,10,1,2250,271,CIFAR10,0.668,cv_glmnet,2240,1000
test,all,54000,10,1,4500,272,CIFAR10,0.646,cv_glmnet,4500,1000
test,all,54000,10,1,9000,273,CIFAR10,0.613,cv_glmnet,9000,1000
test,all,54000,10,1,45000,274,CIFAR10,0.573,cv_glmnet,45000,1000
test,all,54000,10,1,54000,275,CIFAR10,0.575,cv_glmnet,54000,1000
test,all,54000,10,2,2250,276,CIFAR10,0.656,cv_glmnet,2240,1000
test,all,54000,10,2,4500,277,CIFAR10,0.627,cv_glmnet,4500,1000
test,all,54000,10,2,9000,278,CIFAR10,0.592,cv_glmnet,9000,1000
test,all,54000,10,2,45000,279,CIFAR10,0.583,cv_glmnet,45000,1000
test,all,54000,10,2,54000,280,CIFAR10,0.577,cv_glmnet,54000,1000
test,all,54000,10,3,2250,281,CIFAR10,0.662,cv_glmnet,2240,1000
test,all,54000,10,3,4500,282,CIFAR10,0.638,cv_glmnet,4500,1000
test,all,54000,10,3,9000,283,CIFAR10,0.614,cv_glmnet,9000,1000
test,all,54000,10,3,45000,284,CIFAR10,0.585,cv_glmnet,45000,1000
test,all,54000,10,3,54000,285,CIFAR10,0.577,cv_glmnet,54000,1000
train,all,54000,10,1,2250,286,CIFAR10,0.676,cv_glmnet,2240,5000
train,all,54000,10,1,4500,287,CIFAR10,0.644,cv_glmnet,4500,5000
train,all,54000,10,1,9000,288,CIFAR10,0.6262,cv_glmnet,9000,5000
train,all,54000,10,1,45000,289,CIFAR10,0.5984,cv_glmnet,45000,5000
train,all,54000,10,1,54000,290,CIFAR10,0.598,cv_glmnet,54000,5000
train,all,54000,10,2,2250,291,CIFAR10,0.6832,cv_glmnet,2240,5000
train,all,54000,10,2,4500,292,CIFAR10,0.6462,cv_glmnet,4500,5000
train,all,54000,10,2,9000,293,CIFAR10,0.6374,cv_glmnet,9000,5000
train,all,54000,10,2,45000,294,CIFAR10,0.6002,cv_glmnet,45000,5000
train,all,54000,10,2,54000,295,CIFAR10,0.5986,cv_glmnet,54000,5000
train,all,54000,10,3,2250,296,CIFAR10,0.6642,cv_glmnet,2240,5000
train,all,54000,10,3,4500,297,CIFAR10,0.6414,cv_glmnet,4500,5000
train,all,54000,10,3,9000,298,CIFAR10,0.6244,cv_glmnet,9000,5000
train,all,54000,10,3,45000,299,CIFAR10,0.6004,cv_glmnet,45000,5000
train,all,54000,10,3,54000,300,CIFAR10,0.598,cv_glmnet,54000,5000
test,other,45000,1,1,2250,301,CIFAR10,0.66,cv_glmnet,2250,1000
test,other,45000,1,1,4500,302,CIFAR10,0.662,cv_glmnet,4500,1000
test,other,45000,1,1,9000,303,CIFAR10,0.627,cv_glmnet,9000,1000
test,other,45000,1,1,45000,304,CIFAR10,0.612,cv_glmnet,45000,1000
test,other,45000,1,2,2250,305,CIFAR10,0.658,cv_glmnet,2250,1000
test,other,45000,1,2,4500,306,CIFAR10,0.658,cv_glmnet,4500,1000
test,other,45000,1,2,9000,307,CIFAR10,0.64,cv_glmnet,9000,1000
test,other,45000,1,2,45000,308,CIFAR10,0.612,cv_glmnet,45000,1000
test,other,45000,1,3,2250,309,CIFAR10,0.651,cv_glmnet,2250,1000
test,other,45000,1,3,4500,310,CIFAR10,0.633,cv_glmnet,4500,1000
test,other,45000,1,3,9000,311,CIFAR10,0.618,cv_glmnet,9000,1000
test,other,45000,1,3,45000,312,CIFAR10,0.611,cv_glmnet,45000,1000
train,other,9000,1,1,2250,313,CIFAR10,0.6542,cv_glmnet,2250,5000
train,other,9000,1,1,4500,314,CIFAR10,0.6328,cv_glmnet,4500,5000
train,other,9000,1,1,9000,315,CIFAR10,0.6162,cv_glmnet,9000,5000
train,other,9000,1,2,2250,316,CIFAR10,0.6508,cv_glmnet,2250,5000
train,other,9000,1,2,4500,317,CIFAR10,0.636,cv_glmnet,4500,5000
train,other,9000,1,2,9000,318,CIFAR10,0.6162,cv_glmnet,9000,5000
train,other,9000,1,3,2250,319,CIFAR10,0.655,cv_glmnet,2250,5000
train,other,9000,1,3,4500,320,CIFAR10,0.6354,cv_glmnet,4500,5000
train,other,9000,1,3,9000,321,CIFAR10,0.6162,cv_glmnet,9000,5000
test,other,45000,2,1,2250,322,CIFAR10,0.638,cv_glmnet,2250,1000
test,other,45000,2,1,4500,323,CIFAR10,0.603,cv_glmnet,4500,1000
test,other,45000,2,1,9000,324,CIFAR10,0.585,cv_glmnet,9000,1000
test,other,45000,2,1,45000,325,CIFAR10,0.562,cv_glmnet,45000,1000
test,other,45000,2,2,2250,326,CIFAR10,0.646,cv_glmnet,2250,1000
test,other,45000,2,2,4500,327,CIFAR10,0.632,cv_glmnet,4500,1000
test,other,45000,2,2,9000,328,CIFAR10,0.605,cv_glmnet,9000,1000
test,other,45000,2,2,45000,329,CIFAR10,0.561,cv_glmnet,45000,1000
test,other,45000,2,3,2250,330,CIFAR10,0.671,cv_glmnet,2250,1000
test,other,45000,2,3,4500,331,CIFAR10,0.624,cv_glmnet,4500,1000
test,other,45000,2,3,9000,332,CIFAR10,0.601,cv_glmnet,9000,1000
test,other,45000,2,3,45000,333,CIFAR10,0.562,cv_glmnet,45000,1000
train,other,9000,2,1,2250,334,CIFAR10,0.6608,cv_glmnet,2250,5000
train,other,9000,2,1,4500,335,CIFAR10,0.6424,cv_glmnet,4500,5000
