train.groups,test.fold,test.group,region3,iteration,uhash,nr,task_id,learner_id,resampling_id,classif.auc,classif.ce,algorithm,percent.error,data.name
all,9,S,S,27,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.979754440961337,0.0409556313993174,cv_glmnet,4.09556313993174,aztrees3
all,10,NE,NE,28,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.989541432019308,0.0273972602739726,cv_glmnet,2.73972602739726,aztrees3
all,10,NW,NW,29,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.990666666666667,0.00645161290322581,cv_glmnet,0.645161290322581,aztrees3
all,10,S,S,30,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.99715909090909,0.0171232876712329,cv_glmnet,1.71232876712329,aztrees3
other,1,NE,NE,31,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.723285486443381,0.333333333333333,cv_glmnet,33.3333333333333,aztrees3
other,1,NW,NW,32,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.977924944812363,0.0191082802547771,cv_glmnet,1.91082802547771,aztrees3
other,1,S,S,33,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.955721003134796,0.0614334470989761,cv_glmnet,6.14334470989761,aztrees3
other,2,NE,NE,34,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.849813928761297,0.258503401360544,cv_glmnet,25.8503401360544,aztrees3
other,2,NW,NW,35,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.981236203090508,0.0700636942675159,cv_glmnet,7.00636942675159,aztrees3
other,2,S,S,36,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.972309299895507,0.0614334470989761,cv_glmnet,6.14334470989761,aztrees3
other,3,NE,NE,37,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.730462519936204,0.299319727891156,cv_glmnet,29.9319727891157,aztrees3
other,3,NW,NW,38,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.961368653421635,0.0254777070063694,cv_glmnet,2.54777070063694,aztrees3
other,3,S,S,39,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.993207941483804,0.0238907849829352,cv_glmnet,2.38907849829352,aztrees3
other,4,NE,NE,40,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.772993088782562,0.299319727891156,cv_glmnet,29.9319727891157,aztrees3
other,4,NW,NW,41,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.991169977924945,0.0254777070063694,cv_glmnet,2.54777070063694,aztrees3
other,4,S,S,42,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.988505747126436,0.0443686006825939,cv_glmnet,4.43686006825939,aztrees3
other,5,NE,NE,43,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.827835880933226,0.253424657534247,cv_glmnet,25.3424657534247,aztrees3
other,5,NW,NW,44,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.9878587196468,0.0445859872611465,cv_glmnet,4.45859872611465,aztrees3
other,5,S,S,45,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.992816091954023,0.037542662116041,cv_glmnet,3.7542662116041,aztrees3
other,6,NE,NE,46,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.700455886296594,0.36986301369863,cv_glmnet,36.986301369863,aztrees3
other,6,NW,NW,47,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,1,0.0384615384615385,cv_glmnet,3.84615384615385,aztrees3
other,6,S,S,48,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.977272727272727,0.0511945392491468,cv_glmnet,5.11945392491468,aztrees3
other,7,NE,NE,49,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.691606328774471,0.36986301369863,cv_glmnet,36.986301369863,aztrees3
other,7,NW,NW,50,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.97748344370861,0.0897435897435897,cv_glmnet,8.97435897435897,aztrees3
other,7,S,S,51,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.984064785788924,0.037542662116041,cv_glmnet,3.7542662116041,aztrees3
other,8,NE,NE,52,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.703942075623491,0.383561643835616,cv_glmnet,38.3561643835616,aztrees3
other,8,NW,NW,53,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.962913907284769,0.0641025641025641,cv_glmnet,6.41025641025641,aztrees3
other,8,S,S,54,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.947622779519331,0.0784982935153584,cv_glmnet,7.84982935153584,aztrees3
other,9,NE,NE,55,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.783856261732368,0.308219178082192,cv_glmnet,30.8219178082192,aztrees3
other,9,NW,NW,56,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.924000000000001,0.032258064516129,cv_glmnet,3.2258064516129,aztrees3
other,9,S,S,57,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.979493207941484,0.0546075085324232,cv_glmnet,5.46075085324232,aztrees3
other,10,NE,NE,58,419b4f3d-5dc6-4d54-bb90-e625369d1a22,1,aztrees3,classif.cv_glmnet,same_other_cv,0.746312684365782,0.321917808219178,cv_glmnet,32.1917808219178,aztrees3
