grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
100,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,all,41408,10,1,25027,59,all,2026-02-24T05:50:55.862454Z,2026-02-24T05:50:56.580550Z,0,0.5,0.969424460431655
101,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,1,1,25027,62,other,2026-02-24T05:50:56.582754Z,2026-02-24T05:50:57.170935Z,0,0.5,0.969796814936848
102,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,2,1,25027,65,other,2026-02-24T05:50:57.173248Z,2026-02-24T05:50:57.760115Z,0,0.5,0.969796814936848
103,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,3,1,25027,68,other,2026-02-24T05:50:57.763041Z,2026-02-24T05:50:58.359615Z,0,0.5,0.969796814936848
104,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,4,1,25027,71,other,2026-02-24T05:50:58.361937Z,2026-02-24T05:50:58.947613Z,0,0.5,0.969796814936848
105,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,5,1,25027,74,other,2026-02-24T05:50:58.949827Z,2026-02-24T05:50:59.543719Z,0,0.5,0.969796814936848
106,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,6,1,25027,77,other,2026-02-24T05:50:59.546035Z,2026-02-24T05:51:00.144113Z,0,0.5,0.969796814936848
107,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,7,1,25027,80,other,2026-02-24T05:51:00.146303Z,2026-02-24T05:51:00.732738Z,0,0.5,0.970313358988455
108,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,8,1,25027,83,other,2026-02-24T05:51:00.734949Z,2026-02-24T05:51:01.329393Z,0,0.5,0.970313358988455
109,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,9,1,25027,86,other,2026-02-24T05:51:01.331684Z,2026-02-24T05:51:02.052582Z,0,0.5,0.970313358988455
10,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,5,1,41408,30,all,2026-02-24T03:13:01.177554Z,2026-02-24T03:17:15.083189Z,0,0.962285886870605,0.974829198130169
110,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2019,other,25027,10,1,25027,89,other,2026-02-24T05:51:02.055017Z,2026-02-24T05:51:02.641042Z,0,0.5,0.970313358988455
111,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,same,25027,1,1,25027,93,same,2026-02-24T05:51:02.643237Z,2026-02-24T05:51:03.235739Z,0,0.5,0.969086987778577
112,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,same,25027,2,1,25027,96,same,2026-02-24T05:51:03.238104Z,2026-02-24T05:51:03.839953Z,0,0.5,0.969075871988493
113,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,same,25027,3,1,25027,99,same,2026-02-24T05:51:03.842810Z,2026-02-24T05:51:04.550977Z,0,0.5,0.969075871988493
114,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,same,25027,4,1,25027,102,same,2026-02-24T05:51:04.553323Z,2026-02-24T05:51:05.141848Z,0,0.5,0.969075871988493
115,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,same,25027,5,1,25027,105,same,2026-02-24T05:51:05.144050Z,2026-02-24T05:51:05.734760Z,0,0.5,0.969075871988493
116,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,same,25027,6,1,25027,108,same,2026-02-24T05:51:05.737107Z,2026-02-24T05:51:06.332550Z,0,0.5,0.969075871988493
117,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,same,25027,7,1,25027,111,same,2026-02-24T05:51:06.334913Z,2026-02-24T05:51:07.040944Z,0,0.5,0.969075871988493
118,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,same,25027,8,1,25027,114,same,2026-02-24T05:51:07.043308Z,2026-02-24T05:51:07.631229Z,0,0.5,0.969424460431655
119,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,same,25027,9,1,25027,117,same,2026-02-24T05:51:07.633418Z,2026-02-24T05:51:08.231030Z,0,0.5,0.969424460431655
11,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,6,1,41408,33,all,2026-02-24T03:17:15.087814Z,2026-02-24T03:22:04.896367Z,0,0.97165654277772,0.976935749588138
120,1,2,1,NSCH_autism,classif.featureless,same_other_sizes_cv,2020,same,25027,10,1,25027,120,same,2026-02-24T05:51:08.233358Z,2026-02-24T05:51:08.937895Z,0,0.5,0.969424460431655
121,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,1,1,16381,1,all,2026-02-24T05:51:08.940099Z,2026-02-24T05:52:29.493918Z,0,0.965257901781119,0.969247666117518
122,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,1,1,16381,4,all,2026-02-24T05:52:29.498044Z,2026-02-24T05:53:48.914424Z,0,0.96502570561038,0.974838245866283
123,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,2,1,16381,7,all,2026-02-24T05:53:48.918634Z,2026-02-24T05:55:06.711154Z,0,0.973077319056934,0.974739154310818
124,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,2,1,16381,10,all,2026-02-24T05:55:06.715274Z,2026-02-24T05:56:30.966293Z,0,0.969750183371447,0.977705861201007
125,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,3,1,16381,13,all,2026-02-24T05:56:30.970491Z,2026-02-24T05:58:11.474476Z,0,0.967507464223205,0.970895112575508
126,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,3,1,16381,16,all,2026-02-24T05:58:11.478810Z,2026-02-24T05:59:18.801346Z,0,0.972919273417611,0.973031283710895
127,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,4,1,16381,19,all,2026-02-24T05:59:18.805638Z,2026-02-24T06:00:36.906154Z,0,0.979388448471121,0.973091707852828
128,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,4,1,16381,22,all,2026-02-24T06:00:36.910419Z,2026-02-24T06:01:47.974860Z,0,0.964117444017776,0.975188781014024
129,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,5,1,16381,25,all,2026-02-24T06:01:47.979111Z,2026-02-24T06:03:15.786071Z,0,0.967600123545764,0.976386600768808
12,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,6,1,41408,36,all,2026-02-24T03:22:04.900569Z,2026-02-24T03:26:43.474024Z,0,0.968468740561765,0.974829198130169
130,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,5,1,16381,28,all,2026-02-24T06:03:15.790199Z,2026-02-24T06:04:42.633524Z,0,0.962654787073392,0.974829198130169
131,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,6,1,16381,31,all,2026-02-24T06:04:42.637810Z,2026-02-24T06:06:22.739454Z,0,0.968387727787502,0.975837451949478
132,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,6,1,16381,34,all,2026-02-24T06:06:22.743729Z,2026-02-24T06:08:03.110527Z,0,0.967290848686199,0.973031283710895
133,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,7,1,16381,37,all,2026-02-24T06:08:03.114755Z,2026-02-24T06:09:26.076756Z,0,0.972332389046269,0.974161627267729
134,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,7,1,16381,40,all,2026-02-24T06:09:26.081062Z,2026-02-24T06:10:59.514252Z,0,0.97408637873754,0.975188781014024
135,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,8,1,16381,43,all,2026-02-24T06:10:59.523661Z,2026-02-24T06:12:18.930444Z,0,0.961320952680726,0.97086311159978
136,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,8,1,16381,46,all,2026-02-24T06:12:18.934647Z,2026-02-24T06:13:42.956810Z,0,0.960414711339081,0.970143884892086
137,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,9,1,16381,49,all,2026-02-24T06:13:42.961140Z,2026-02-24T06:15:13.878310Z,0,0.959516315182037,0.974161627267729
138,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,9,1,16381,52,all,2026-02-24T06:15:13.882485Z,2026-02-24T06:16:30.795329Z,0,0.961868383717124,0.974460431654676
139,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,10,1,16381,55,all,2026-02-24T06:16:30.799583Z,2026-02-24T06:18:08.329324Z,0,0.969982163466583,0.976360637713029
13,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,7,1,41408,39,all,2026-02-24T03:26:43.480322Z,2026-02-24T03:31:10.094118Z,0,0.974798027489246,0.976360637713029
140,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,10,1,16381,58,all,2026-02-24T06:18:08.333739Z,2026-02-24T06:19:36.981622Z,0,0.952072465349776,0.971942446043166
141,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,1,1,16381,61,other,2026-02-24T06:19:36.985870Z,2026-02-24T06:20:47.672567Z,0,0.963816534541336,0.971444261394838
142,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,1,1,16381,63,other,2026-02-24T06:20:47.676694Z,2026-02-24T06:22:28.467074Z,0,0.965030018632253,0.975197699496765
143,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,2,1,16381,64,other,2026-02-24T06:22:28.471325Z,2026-02-24T06:24:03.737279Z,0,0.975146710594049,0.974739154310818
144,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,2,1,16381,66,other,2026-02-24T06:24:03.741472Z,2026-02-24T06:25:22.553178Z,0,0.968371661561031,0.978065444084861
145,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,3,1,16381,67,other,2026-02-24T06:25:22.557546Z,2026-02-24T06:26:57.291796Z,0,0.967579532585195,0.970345963756178
146,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,3,1,16381,69,other,2026-02-24T06:26:57.334347Z,2026-02-24T06:28:30.700517Z,0,0.971965741899297,0.972671700827041
147,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,4,1,16381,70,other,2026-02-24T06:28:30.705570Z,2026-02-24T06:29:51.248249Z,0,0.980026768248738,0.974739154310818
148,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,4,1,16381,72,other,2026-02-24T06:29:51.252430Z,2026-02-24T06:31:22.991439Z,0,0.963806791215429,0.975907946781733
149,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,5,1,16381,73,other,2026-02-24T06:31:22.995727Z,2026-02-24T06:32:50.979600Z,0,0.968907649541852,0.975837451949478
14,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,7,1,41408,42,all,2026-02-24T03:31:10.098795Z,2026-02-24T03:35:34.432822Z,0,0.977011692626309,0.97950377562028
150,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,5,1,16381,75,other,2026-02-24T06:32:50.987226Z,2026-02-24T06:34:20.645747Z,0,0.960739094792252,0.974110032362459
151,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,6,1,16381,76,other,2026-02-24T06:34:20.650185Z,2026-02-24T06:35:51.906065Z,0,0.967656748687326,0.975288303130148
152,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,6,1,16381,78,other,2026-02-24T06:35:51.910182Z,2026-02-24T06:37:29.536223Z,0,0.966333002545628,0.973031283710895
153,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,7,1,16381,79,other,2026-02-24T06:37:29.540787Z,2026-02-24T06:38:58.310618Z,0,0.971986150456406,0.976910390324354
154,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,7,1,16381,81,other,2026-02-24T06:38:58.314745Z,2026-02-24T06:40:38.053511Z,0,0.970764119601329,0.976267529665588
155,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,8,1,16381,82,other,2026-02-24T06:40:38.057696Z,2026-02-24T06:41:59.071809Z,0,0.964620711362921,0.97306212204508
156,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,8,1,16381,84,other,2026-02-24T06:41:59.080109Z,2026-02-24T06:43:20.925782Z,0,0.95747899159664,0.971223021582734
157,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,9,1,16381,85,other,2026-02-24T06:43:20.930464Z,2026-02-24T06:44:38.440634Z,0,0.967086349805897,0.974161627267729
158,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,9,1,16381,87,other,2026-02-24T06:44:38.445236Z,2026-02-24T06:46:16.652039Z,0,0.961410018552875,0.974460431654676
159,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,10,1,16381,88,other,2026-02-24T06:46:16.656179Z,2026-02-24T06:47:40.629852Z,0,0.969635924876718,0.974161627267729
15,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,8,1,41408,45,all,2026-02-24T03:35:34.437301Z,2026-02-24T03:39:55.543886Z,0,0.96755849333753,0.973611874656405
