train.groups,test.fold,test.group,predefined.set,iteration,uhash,nr,task_id,learner_id,resampling_id,classif.ce,algorithm,percent.error,data.name
all,1,test,test,1,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.571428571428571,cv_glmnet,57.1428571428571,14cancer
all,1,train,train,2,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.222222222222222,cv_glmnet,22.2222222222222,14cancer
all,2,test,test,3,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.142857142857143,cv_glmnet,14.2857142857143,14cancer
all,2,train,train,4,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.333333333333333,cv_glmnet,33.3333333333333,14cancer
all,3,test,test,5,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.583333333333333,cv_glmnet,58.3333333333333,14cancer
all,3,train,train,6,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.166666666666667,cv_glmnet,16.6666666666667,14cancer
all,4,test,test,7,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.125,cv_glmnet,12.5,14cancer
all,4,train,train,8,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.277777777777778,cv_glmnet,27.7777777777778,14cancer
all,5,test,test,9,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0,cv_glmnet,0,14cancer
all,5,train,train,10,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.294117647058824,cv_glmnet,29.4117647058824,14cancer
all,6,test,test,11,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0,cv_glmnet,0,14cancer
all,6,train,train,12,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.352941176470588,cv_glmnet,35.2941176470588,14cancer
all,7,train,train,13,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.4,cv_glmnet,40,14cancer
all,8,train,train,14,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.333333333333333,cv_glmnet,33.3333333333333,14cancer
all,9,train,train,15,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0,cv_glmnet,0,14cancer
all,10,train,train,16,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0,cv_glmnet,0,14cancer
other,1,test,test,17,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.571428571428571,cv_glmnet,57.1428571428571,14cancer
other,2,test,test,19,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.285714285714286,cv_glmnet,28.5714285714286,14cancer
other,3,test,test,21,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.666666666666667,cv_glmnet,66.6666666666667,14cancer
other,4,test,test,23,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.125,cv_glmnet,12.5,14cancer
other,5,test,test,25,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0,cv_glmnet,0,14cancer
other,6,test,test,27,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.333333333333333,cv_glmnet,33.3333333333333,14cancer
same,1,train,train,34,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.111111111111111,cv_glmnet,11.1111111111111,14cancer
same,2,train,train,36,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.277777777777778,cv_glmnet,27.7777777777778,14cancer
same,3,train,train,38,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.166666666666667,cv_glmnet,16.6666666666667,14cancer
same,4,train,train,40,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.333333333333333,cv_glmnet,33.3333333333333,14cancer
same,5,train,train,42,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.235294117647059,cv_glmnet,23.5294117647059,14cancer
same,6,train,train,44,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.352941176470588,cv_glmnet,35.2941176470588,14cancer
same,7,train,train,45,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.4,cv_glmnet,40,14cancer
same,8,train,train,46,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0.4,cv_glmnet,40,14cancer
same,9,train,train,47,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0,cv_glmnet,0,14cancer
same,10,train,train,48,0b4d629d-8e8c-48fc-bb24-a21efa171e2c,1,14cancer,classif.cv_glmnet,same_other_cv,0,cv_glmnet,0,14cancer
all,1,test,test,1,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.285714285714286,rpart,28.5714285714286,14cancer
all,1,train,train,2,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.388888888888889,rpart,38.8888888888889,14cancer
all,2,test,test,3,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.642857142857143,rpart,64.2857142857143,14cancer
all,2,train,train,4,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.388888888888889,rpart,38.8888888888889,14cancer
all,3,test,test,5,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.75,rpart,75,14cancer
all,3,train,train,6,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.333333333333333,rpart,33.3333333333333,14cancer
all,4,test,test,7,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.375,rpart,37.5,14cancer
all,4,train,train,8,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.388888888888889,rpart,38.8888888888889,14cancer
all,5,test,test,9,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0,rpart,0,14cancer
all,5,train,train,10,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.352941176470588,rpart,35.2941176470588,14cancer
all,6,test,test,11,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.333333333333333,rpart,33.3333333333333,14cancer
all,6,train,train,12,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.705882352941177,rpart,70.5882352941177,14cancer
all,7,train,train,13,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.466666666666667,rpart,46.6666666666667,14cancer
all,8,train,train,14,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.333333333333333,rpart,33.3333333333333,14cancer
all,9,train,train,15,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0,rpart,0,14cancer
all,10,train,train,16,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0,rpart,0,14cancer
other,1,test,test,17,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.642857142857143,rpart,64.2857142857143,14cancer
other,1,train,train,18,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.777777777777778,rpart,77.7777777777778,14cancer
other,2,test,test,19,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.428571428571429,rpart,42.8571428571429,14cancer
other,2,train,train,20,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.777777777777778,rpart,77.7777777777778,14cancer
other,3,test,test,21,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.666666666666667,rpart,66.6666666666667,14cancer
other,3,train,train,22,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.888888888888889,rpart,88.8888888888889,14cancer
other,4,test,test,23,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.375,rpart,37.5,14cancer
other,4,train,train,24,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.833333333333333,rpart,83.3333333333333,14cancer
other,5,test,test,25,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.666666666666667,rpart,66.6666666666667,14cancer
other,5,train,train,26,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.764705882352941,rpart,76.4705882352941,14cancer
other,6,test,test,27,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.666666666666667,rpart,66.6666666666667,14cancer
other,6,train,train,28,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.764705882352941,rpart,76.4705882352941,14cancer
other,7,train,train,29,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.8,rpart,80,14cancer
other,8,train,train,30,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.8,rpart,80,14cancer
other,9,train,train,31,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.75,rpart,75,14cancer
other,10,train,train,32,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.75,rpart,75,14cancer
same,1,test,test,33,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.928571428571429,rpart,92.8571428571429,14cancer
same,1,train,train,34,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.444444444444444,rpart,44.4444444444444,14cancer
same,2,test,test,35,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.785714285714286,rpart,78.5714285714286,14cancer
same,2,train,train,36,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.444444444444444,rpart,44.4444444444444,14cancer
same,3,test,test,37,499845cf-5a15-43cc-a303-01f165b74ebe,2,14cancer,classif.rpart,same_other_cv,0.75,rpart,75,14cancer
