job.id,submitted,started,done,error,mem.used,batch.id,log.file,job.hash,job.name,repl,time.queued,time.running,problem,algorithm,tags
1,2026-02-24T03:23:01.536100Z,2026-02-24T03:23:42.811100Z,2026-02-24T03:24:55.116Z,,,7290254_1,joba4f8680970e75d50f4704f845baf620d.log_1,joba4f8680970e75d50f4704f845baf620d,01ab2d16-7901-48bb-bf49-080853d55947,1,41.2750000953674,72.304899930954,ec3770ae7f439181,run_learner,
2,2026-02-24T03:23:01.536100Z,2026-02-24T03:23:41.210900Z,2026-02-24T03:24:58.587600Z,,,7290254_2,joba4f8680970e75d50f4704f845baf620d.log_2,joba4f8680970e75d50f4704f845baf620d,01ab2d16-7901-48bb-bf49-080853d55947,2,39.674800157547,77.376699924469,ec3770ae7f439181,run_learner,
3,2026-02-24T03:23:01.536100Z,2026-02-24T03:23:41.125500Z,2026-02-24T03:25:34.762600Z,,,7290254_3,joba4f8680970e75d50f4704f845baf620d.log_3,joba4f8680970e75d50f4704f845baf620d,01ab2d16-7901-48bb-bf49-080853d55947,3,39.5894000530243,113.637099981308,ec3770ae7f439181,run_learner,
4,2026-02-24T03:23:01.536100Z,2026-02-24T03:23:42.868900Z,2026-02-24T03:24:41.581300Z,,,7290254_4,joba4f8680970e75d50f4704f845baf620d.log_4,joba4f8680970e75d50f4704f845baf620d,01ab2d16-7901-48bb-bf49-080853d55947,4,41.3328001499176,58.7123999595642,ec3770ae7f439181,run_learner,
5,2026-02-24T03:23:01.536100Z,2026-02-24T03:23:41.237300Z,2026-02-24T03:24:46.515500Z,,,7290254_5,joba4f8680970e75d50f4704f845baf620d.log_5,joba4f8680970e75d50f4704f845baf620d,01ab2d16-7901-48bb-bf49-080853d55947,5,39.7012000083923,65.2782001495361,ec3770ae7f439181,run_learner,
6,2026-02-24T03:23:01.536100Z,2026-02-24T03:23:41.238600Z,2026-02-24T03:26:31.570800Z,,,7290254_6,joba4f8680970e75d50f4704f845baf620d.log_6,joba4f8680970e75d50f4704f845baf620d,01ab2d16-7901-48bb-bf49-080853d55947,6,39.7025001049042,170.332200050354,ec3770ae7f439181,run_learner,
7,2026-02-24T03:23:01.536100Z,2026-02-24T03:23:45.238800Z,2026-02-24T03:25:33.192300Z,,,7290254_7,joba4f8680970e75d50f4704f845baf620d.log_7,joba4f8680970e75d50f4704f845baf620d,01ab2d16-7901-48bb-bf49-080853d55947,7,43.702700138092,107.953500032425,ec3770ae7f439181,run_learner,
8,2026-02-24T03:23:01.536100Z,2026-02-24T03:23:43.064100Z,2026-02-24T03:25:39.641200Z,,,7290254_8,joba4f8680970e75d50f4704f845baf620d.log_8,joba4f8680970e75d50f4704f845baf620d,01ab2d16-7901-48bb-bf49-080853d55947,8,41.5280001163483,116.577100038528,ec3770ae7f439181,run_learner,
9,2026-02-24T03:23:01.536100Z,2026-02-24T03:23:41.238400Z,2026-02-24T03:26:25.712700Z,,,7290254_9,joba4f8680970e75d50f4704f845baf620d.log_9,joba4f8680970e75d50f4704f845baf620d,01ab2d16-7901-48bb-bf49-080853d55947,9,39.7023000717163,164.474299907684,ec3770ae7f439181,run_learner,
10,2026-02-24T03:23:01.536100Z,2026-02-24T03:23:42.992500Z,2026-02-24T03:24:28.839400Z,,,7290254_10,joba4f8680970e75d50f4704f845baf620d.log_10,joba4f8680970e75d50f4704f845baf620d,01ab2d16-7901-48bb-bf49-080853d55947,10,41.4564001560211,45.8468999862671,ec3770ae7f439181,run_learner,
