grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.acc
125,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,3,1,4500,13,all,2026-02-24T19:54:57.364307Z,2026-02-24T20:50:22.571960Z,29,0.34375
126,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,3,1,4500,16,all,2026-02-24T20:01:53.451341Z,2026-02-24T20:54:08.253638Z,42,0.324
127,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,4,1,4500,19,all,2026-02-24T20:02:28.106742Z,2026-02-24T20:41:45.736787Z,41,0.3525
128,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,4,1,4500,22,all,2026-02-24T20:05:01.909408Z,2026-02-24T20:41:54.236036Z,39,0.316
129,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,5,1,4500,25,all,2026-02-24T20:08:11.621581Z,2026-02-24T20:45:32.922478Z,32,0.3425
13,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,7,1,11700,39,all,2026-02-24T18:26:11.144230Z,2026-02-24T20:02:27.961380Z,41,0.37625
130,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,5,1,4500,28,all,2026-02-24T20:16:05.470972Z,2026-02-24T21:14:52.422713Z,48,0.374
131,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,6,1,4500,31,all,2026-02-24T20:20:37.918753Z,2026-02-24T21:19:43.080268Z,49,0.375
132,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,6,1,4500,34,all,2026-02-24T20:28:09.701636Z,2026-02-24T21:06:36.143822Z,34,0.37
133,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,7,1,4500,37,all,2026-02-24T20:28:57.230010Z,2026-02-24T21:08:58.004889Z,27,0.37625
134,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,7,1,4500,40,all,2026-02-24T20:29:19.520176Z,2026-02-24T21:07:26.391378Z,25,0.336
135,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,8,1,4500,43,all,2026-02-24T20:30:21.916829Z,2026-02-24T21:13:16.767955Z,38,0.33875
136,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,8,1,4500,46,all,2026-02-24T20:31:07.312546Z,2026-02-24T21:10:24.554666Z,40,0.358
137,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,9,1,4500,49,all,2026-02-24T20:31:28.635371Z,2026-02-24T21:13:47.524227Z,12,0.35625
138,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,9,1,4500,52,all,2026-02-24T20:33:34.571812Z,2026-02-24T21:09:55.492602Z,24,0.37
139,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,10,1,4500,55,all,2026-02-24T20:35:43.454149Z,2026-02-24T21:14:09.373346Z,35,0.3775
14,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,7,1,11700,42,all,2026-02-24T18:26:11.144256Z,2026-02-24T22:49:19.403517Z,19,0.352
140,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,all,11700,10,1,4500,58,all,2026-02-24T20:38:13.868806Z,2026-02-24T21:26:51.434026Z,36,0.338
141,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,other,4500,1,1,4500,61,other,2026-02-24T20:39:40.946212Z,2026-02-24T21:17:35.542282Z,37,0.375
142,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,other,7200,1,1,4500,62,other,2026-02-24T20:39:58.398817Z,2026-02-24T21:30:15.072047Z,7,0.376
143,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,other,4500,2,1,4500,64,other,2026-02-24T20:41:45.862487Z,2026-02-24T21:16:48.608356Z,41,0.3625
144,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,other,7200,2,1,4500,65,other,2026-02-24T20:41:54.356220Z,2026-02-24T21:19:05.677828Z,39,0.396
145,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,other,4500,3,1,4500,67,other,2026-02-24T20:42:36.047834Z,2026-02-24T21:27:43.446509Z,28,0.355
146,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,other,7200,3,1,4500,68,other,2026-02-24T20:43:25.479975Z,2026-02-24T21:33:08.516755Z,31,0.352
147,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,other,4500,4,1,4500,70,other,2026-02-24T20:45:33.033003Z,2026-02-24T21:25:29.934400Z,32,0.3325
148,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,other,7200,4,1,4500,71,other,2026-02-24T20:47:35.232248Z,2026-02-24T21:40:08.006824Z,14,0.332
149,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,other,4500,5,1,4500,73,other,2026-02-24T20:50:22.706076Z,2026-02-24T21:47:59.495968Z,29,0.33625
15,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,all,11700,8,1,11700,45,all,2026-02-24T18:26:11.146151Z,2026-02-24T22:16:22.950353Z,20,0.355
150,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,other,7200,5,1,4500,74,other,2026-02-24T20:53:29.724176Z,2026-02-24T21:43:51.965418Z,13,0.358
151,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,other,4500,6,1,4500,76,other,2026-02-24T20:54:08.366125Z,2026-02-24T21:44:14.547179Z,42,0.36875
152,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,other,7200,6,1,4500,77,other,2026-02-24T20:56:49.122204Z,2026-02-24T21:43:01.126013Z,33,0.37
153,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,other,4500,7,1,4500,79,other,2026-02-24T20:59:38.282225Z,2026-02-24T22:22:05.189807Z,9,0.37
154,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,other,7200,7,1,4500,80,other,2026-02-24T21:01:23.991220Z,2026-02-24T22:26:14.601129Z,10,0.354
155,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,other,4500,8,1,4500,82,other,2026-02-24T21:03:54.739954Z,2026-02-24T21:49:52.701579Z,30,0.3125
156,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,other,7200,8,1,4500,83,other,2026-02-24T21:04:07.956083Z,2026-02-24T22:38:13.526663Z,21,0.366
157,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,other,4500,9,1,4500,85,other,2026-02-24T21:04:42.889859Z,2026-02-24T21:52:51.786653Z,26,0.36125
158,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,train,other,7200,9,1,4500,86,other,2026-02-24T21:06:36.361168Z,2026-02-24T21:48:30.640337Z,34,0.356
159,1,1,1,STL10,classif.cv_glmnet,same_other_sizes_cv,test,other,4500,10,1,4500,88,other,2026-02-24T21:07:26.500401Z,2026-02-24T21:45:23.800878Z,25,0.33875
