grid_job_i,task.i,learner.i,resampling.i,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups,iteration,Train_subsets,start.time,end.time,process,classif.auc,classif.acc
13,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,all,41408,7,1,41408,39,all,2026-02-24T03:17:56.617296Z,2026-02-24T03:22:57.307563Z,31,0.972154023712097,0.974161627267729
140,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,10,1,16381,58,all,2026-02-24T03:17:58.564549Z,2026-02-24T03:18:54.734804Z,98,0.952845138055222,0.972302158273381
141,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,1,1,16381,61,other,2026-02-24T03:17:58.590674Z,2026-02-24T03:19:04.443621Z,42,0.981643158653351,0.976386600768808
142,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,1,1,16381,63,other,2026-02-24T03:17:58.618028Z,2026-02-24T03:19:06.346421Z,97,0.974574736043062,0.977713874910137
143,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,2,1,16381,64,other,2026-02-24T03:17:58.623274Z,2026-02-24T03:19:00.558432Z,41,0.97574384845053,0.976386600768808
144,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,2,1,16381,66,other,2026-02-24T03:17:58.623283Z,2026-02-24T03:19:22.193708Z,43,0.971022996936619,0.975188781014024
145,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,3,1,16381,67,other,2026-02-24T03:17:58.641410Z,2026-02-24T03:20:03.408906Z,5,0.971934520745392,0.974190005491488
146,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,3,1,16381,69,other,2026-02-24T03:17:58.647517Z,2026-02-24T03:20:52.253739Z,10,0.968395391983431,0.976627112549443
147,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,4,1,16381,70,other,2026-02-24T03:17:58.647900Z,2026-02-24T03:20:07.563696Z,6,0.970400494183053,0.979132344865459
148,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,4,1,16381,72,other,2026-02-24T03:17:58.670072Z,2026-02-24T03:20:39.521969Z,8,0.954571342278983,0.972312117943186
149,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,5,1,16381,73,other,2026-02-24T03:17:58.672167Z,2026-02-24T03:19:39.149827Z,3,0.965767528055184,0.972542559033498
14,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,all,41408,7,1,41408,42,all,2026-02-24T03:17:56.617089Z,2026-02-24T03:22:35.825234Z,52,0.948880355524873,0.971233369291622
150,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,5,1,16381,75,other,2026-02-24T03:17:58.683332Z,2026-02-24T03:20:27.300143Z,4,0.965148638736679,0.974829198130169
151,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,6,1,16381,76,other,2026-02-24T03:17:58.693483Z,2026-02-24T03:21:26.848593Z,67,0.964882116750747,0.973091707852828
152,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,6,1,16381,78,other,2026-02-24T03:17:58.751975Z,2026-02-24T03:21:42.977481Z,55,0.964447512620271,0.976627112549443
153,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,7,1,16381,79,other,2026-02-24T03:17:58.781636Z,2026-02-24T03:21:38.696921Z,60,0.971451054453888,0.975261132490379
154,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,7,1,16381,81,other,2026-02-24T03:17:58.813726Z,2026-02-24T03:21:31.269418Z,57,0.948789748457522,0.968356706220784
155,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2019,other,25027,8,1,16381,82,other,2026-02-24T03:17:58.816887Z,2026-02-24T03:21:49.766857Z,81,0.963949218340154,0.973611874656405
156,1,1,1,NSCH_autism,classif.cv_glmnet,same_other_sizes_cv,2020,other,16381,8,1,16381,84,other,2026-02-24T03:17:58.817378Z,2026-02-24T03:19:32.599746Z,74,0.969568918476481,0.976258992805755
