seconds,task_id,learner_id,iteration
4,EMNIST,classif.featureless,8
4,EMNIST,classif.featureless,9
5,EMNIST,classif.featureless,10
29405,FashionMNIST,classif.nearest_neighbors,1
29405,FashionMNIST,classif.nearest_neighbors,2
29274,FashionMNIST,classif.nearest_neighbors,3
30707,FashionMNIST,classif.nearest_neighbors,4
30550,FashionMNIST,classif.nearest_neighbors,5
30890,FashionMNIST,classif.nearest_neighbors,6
30126,FashionMNIST,classif.nearest_neighbors,7
30238,FashionMNIST,classif.nearest_neighbors,8
30066,FashionMNIST,classif.nearest_neighbors,9
30168,FashionMNIST,classif.nearest_neighbors,10
26115,FashionMNIST,classif.cv_glmnet,1
19913,FashionMNIST,classif.cv_glmnet,2
20210,FashionMNIST,classif.cv_glmnet,3
13608,FashionMNIST,classif.cv_glmnet,4
16099,FashionMNIST,classif.cv_glmnet,5
18299,FashionMNIST,classif.cv_glmnet,6
24585,FashionMNIST,classif.cv_glmnet,7
10784,FashionMNIST,classif.cv_glmnet,8
14507,FashionMNIST,classif.cv_glmnet,9
17637,FashionMNIST,classif.cv_glmnet,10
23,FashionMNIST,classif.rpart,1
26,FashionMNIST,classif.rpart,2
21,FashionMNIST,classif.rpart,3
25,FashionMNIST,classif.rpart,4
23,FashionMNIST,classif.rpart,5
27,FashionMNIST,classif.rpart,6
24,FashionMNIST,classif.rpart,7
27,FashionMNIST,classif.rpart,8
22,FashionMNIST,classif.rpart,9
27,FashionMNIST,classif.rpart,10
9,FashionMNIST,classif.featureless,1
4,FashionMNIST,classif.featureless,2
4,FashionMNIST,classif.featureless,3
8,FashionMNIST,classif.featureless,4
4,FashionMNIST,classif.featureless,5
4,FashionMNIST,classif.featureless,6
12,FashionMNIST,classif.featureless,7
4,FashionMNIST,classif.featureless,8
4,FashionMNIST,classif.featureless,9
11,FashionMNIST,classif.featureless,10
1451,FishSonar_river,classif.cv_glmnet,1
1517,FishSonar_river,classif.cv_glmnet,2
1314,FishSonar_river,classif.cv_glmnet,3
1254,FishSonar_river,classif.cv_glmnet,4
1495,FishSonar_river,classif.cv_glmnet,5
1397,FishSonar_river,classif.cv_glmnet,6
1018,FishSonar_river,classif.cv_glmnet,7
1182,FishSonar_river,classif.cv_glmnet,8
1322,FishSonar_river,classif.cv_glmnet,9
1273,FishSonar_river,classif.cv_glmnet,10
190,FishSonar_river,classif.rpart,1
185,FishSonar_river,classif.rpart,2
181,FishSonar_river,classif.rpart,3
262,FishSonar_river,classif.rpart,4
219,FishSonar_river,classif.rpart,5
180,FishSonar_river,classif.rpart,6
194,FishSonar_river,classif.rpart,7
176,FishSonar_river,classif.rpart,8
