job.id,seconds,task_id,learner_id,iteration
1,9,aztrees3,classif.cv_glmnet,1
2,12,aztrees3,classif.cv_glmnet,2
3,19,aztrees3,classif.cv_glmnet,3
4,24,aztrees3,classif.cv_glmnet,4
5,21,aztrees3,classif.cv_glmnet,5
6,15,aztrees3,classif.cv_glmnet,6
7,26,aztrees3,classif.cv_glmnet,7
8,24,aztrees3,classif.cv_glmnet,8
9,24,aztrees3,classif.cv_glmnet,9
10,17,aztrees3,classif.cv_glmnet,10
11,14,aztrees4,classif.cv_glmnet,1
12,17,aztrees4,classif.cv_glmnet,2
13,20,aztrees4,classif.cv_glmnet,3
14,21,aztrees4,classif.cv_glmnet,4
15,22,aztrees4,classif.cv_glmnet,5
16,12,aztrees4,classif.cv_glmnet,6
17,17,aztrees4,classif.cv_glmnet,7
18,9,aztrees4,classif.cv_glmnet,8
19,17,aztrees4,classif.cv_glmnet,9
20,11,aztrees4,classif.cv_glmnet,10
21,12,CanadaFires_all,classif.cv_glmnet,1
22,14,CanadaFires_all,classif.cv_glmnet,2
23,11,CanadaFires_all,classif.cv_glmnet,3
24,14,CanadaFires_all,classif.cv_glmnet,4
25,11,CanadaFires_all,classif.cv_glmnet,5
26,17,CanadaFires_all,classif.cv_glmnet,6
27,16,CanadaFires_all,classif.cv_glmnet,7
28,13,CanadaFires_all,classif.cv_glmnet,8
29,14,CanadaFires_all,classif.cv_glmnet,9
30,11,CanadaFires_all,classif.cv_glmnet,10
31,6,CanadaFires_downSampled,classif.cv_glmnet,1
32,5,CanadaFires_downSampled,classif.cv_glmnet,2
33,5,CanadaFires_downSampled,classif.cv_glmnet,3
34,4,CanadaFires_downSampled,classif.cv_glmnet,4
35,5,CanadaFires_downSampled,classif.cv_glmnet,5
36,6,CanadaFires_downSampled,classif.cv_glmnet,6
37,5,CanadaFires_downSampled,classif.cv_glmnet,7
38,6,CanadaFires_downSampled,classif.cv_glmnet,8
39,6,CanadaFires_downSampled,classif.cv_glmnet,9
40,6,CanadaFires_downSampled,classif.cv_glmnet,10
41,16372,CIFAR10,classif.cv_glmnet,1
42,16816,CIFAR10,classif.cv_glmnet,2
43,16031,CIFAR10,classif.cv_glmnet,3
44,17160,CIFAR10,classif.cv_glmnet,4
45,18258,CIFAR10,classif.cv_glmnet,5
46,18893,CIFAR10,classif.cv_glmnet,6
47,25435,CIFAR10,classif.cv_glmnet,7
48,21697,CIFAR10,classif.cv_glmnet,8
49,23994,CIFAR10,classif.cv_glmnet,9
50,24226,CIFAR10,classif.cv_glmnet,10
51,13469,EMNIST,classif.cv_glmnet,1
52,19254,EMNIST,classif.cv_glmnet,2
53,20227,EMNIST,classif.cv_glmnet,3
54,11522,EMNIST,classif.cv_glmnet,4
55,8786,EMNIST,classif.cv_glmnet,5
56,6323,EMNIST,classif.cv_glmnet,6
57,7468,EMNIST,classif.cv_glmnet,7
58,10057,EMNIST,classif.cv_glmnet,8
59,30440,EMNIST,classif.cv_glmnet,9
60,11426,EMNIST,classif.cv_glmnet,10
61,37307,FashionMNIST,classif.cv_glmnet,1
62,25533,FashionMNIST,classif.cv_glmnet,2
63,21548,FashionMNIST,classif.cv_glmnet,3
64,8951,FashionMNIST,classif.cv_glmnet,4
65,15958,FashionMNIST,classif.cv_glmnet,5
66,13792,FashionMNIST,classif.cv_glmnet,6
67,23289,FashionMNIST,classif.cv_glmnet,7
68,16018,FashionMNIST,classif.cv_glmnet,8
69,26524,FashionMNIST,classif.cv_glmnet,9
70,22970,FashionMNIST,classif.cv_glmnet,10
71,1910,FishSonar_river,classif.cv_glmnet,1
72,1118,FishSonar_river,classif.cv_glmnet,2
73,1078,FishSonar_river,classif.cv_glmnet,3
74,2154,FishSonar_river,classif.cv_glmnet,4
75,1731,FishSonar_river,classif.cv_glmnet,5
76,1982,FishSonar_river,classif.cv_glmnet,6
77,2246,FishSonar_river,classif.cv_glmnet,7
78,1707,FishSonar_river,classif.cv_glmnet,8
79,2119,FishSonar_river,classif.cv_glmnet,9
80,2107,FishSonar_river,classif.cv_glmnet,10
81,8879,KMNIST,classif.cv_glmnet,1
82,6503,KMNIST,classif.cv_glmnet,2
83,6674,KMNIST,classif.cv_glmnet,3
84,6185,KMNIST,classif.cv_glmnet,4
85,5832,KMNIST,classif.cv_glmnet,5
86,6884,KMNIST,classif.cv_glmnet,6
87,7748,KMNIST,classif.cv_glmnet,7
88,6601,KMNIST,classif.cv_glmnet,8
89,9054,KMNIST,classif.cv_glmnet,9
90,9291,KMNIST,classif.cv_glmnet,10
91,48507,MNIST,classif.cv_glmnet,1
92,30466,MNIST,classif.cv_glmnet,2
93,19057,MNIST,classif.cv_glmnet,3
94,41613,MNIST,classif.cv_glmnet,4
95,25342,MNIST,classif.cv_glmnet,5
96,21788,MNIST,classif.cv_glmnet,6
97,23087,MNIST,classif.cv_glmnet,7
98,34888,MNIST,classif.cv_glmnet,8
99,49091,MNIST,classif.cv_glmnet,9
100,69453,MNIST,classif.cv_glmnet,10
101,,MNIST_EMNIST,classif.cv_glmnet,1
102,,MNIST_EMNIST,classif.cv_glmnet,2
103,,MNIST_EMNIST,classif.cv_glmnet,3
104,85368,MNIST_EMNIST,classif.cv_glmnet,4
105,,MNIST_EMNIST,classif.cv_glmnet,5
106,76732,MNIST_EMNIST,classif.cv_glmnet,6
107,66045,MNIST_EMNIST,classif.cv_glmnet,7
108,,MNIST_EMNIST,classif.cv_glmnet,8
109,,MNIST_EMNIST,classif.cv_glmnet,9
110,,MNIST_EMNIST,classif.cv_glmnet,10
111,,MNIST_EMNIST_rot,classif.cv_glmnet,1
112,,MNIST_EMNIST_rot,classif.cv_glmnet,2
113,,MNIST_EMNIST_rot,classif.cv_glmnet,3
114,,MNIST_EMNIST_rot,classif.cv_glmnet,4
115,,MNIST_EMNIST_rot,classif.cv_glmnet,5
116,,MNIST_EMNIST_rot,classif.cv_glmnet,6
117,,MNIST_EMNIST_rot,classif.cv_glmnet,7
118,40201,MNIST_EMNIST_rot,classif.cv_glmnet,8
119,,MNIST_EMNIST_rot,classif.cv_glmnet,9
120,,MNIST_EMNIST_rot,classif.cv_glmnet,10
121,48360,MNIST_FashionMNIST,classif.cv_glmnet,1
122,65493,MNIST_FashionMNIST,classif.cv_glmnet,2
123,86222,MNIST_FashionMNIST,classif.cv_glmnet,3
124,,MNIST_FashionMNIST,classif.cv_glmnet,4
125,,MNIST_FashionMNIST,classif.cv_glmnet,5
126,,MNIST_FashionMNIST,classif.cv_glmnet,6
127,,MNIST_FashionMNIST,classif.cv_glmnet,7
128,,MNIST_FashionMNIST,classif.cv_glmnet,8
129,,MNIST_FashionMNIST,classif.cv_glmnet,9
130,,MNIST_FashionMNIST,classif.cv_glmnet,10
131,353,NSCH_autism,classif.cv_glmnet,1
132,185,NSCH_autism,classif.cv_glmnet,2
133,392,NSCH_autism,classif.cv_glmnet,3
134,346,NSCH_autism,classif.cv_glmnet,4
135,181,NSCH_autism,classif.cv_glmnet,5
136,378,NSCH_autism,classif.cv_glmnet,6
137,182,NSCH_autism,classif.cv_glmnet,7
138,381,NSCH_autism,classif.cv_glmnet,8
139,326,NSCH_autism,classif.cv_glmnet,9
140,331,NSCH_autism,classif.cv_glmnet,10
141,35454,QMNIST,classif.cv_glmnet,1
142,33521,QMNIST,classif.cv_glmnet,2
143,50232,QMNIST,classif.cv_glmnet,3
144,,QMNIST,classif.cv_glmnet,4
145,21701,QMNIST,classif.cv_glmnet,5
146,21946,QMNIST,classif.cv_glmnet,6
147,30937,QMNIST,classif.cv_glmnet,7
148,25052,QMNIST,classif.cv_glmnet,8
149,13023,QMNIST,classif.cv_glmnet,9
150,53910,QMNIST,classif.cv_glmnet,10
